Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Pretilachlor Technical 94% min., 96% min",431,"1.     Syngenta Produkte AG, Switzerland
2.     Hangzhou Qingfeng Agrochemicals Co. Ltd. Formerly known as - (Hangzhou General Pesticide Plant) No 177, Jichang Road, Hangzhou, China
Supplier: Willowood Ltd., unit 2314, Wellborne, Commercial Center 8, Java Road, North Point, Hongkong","1.     Nagarjuna Agrichem Ltd., Hyderabad.
2.     GSP Crop Science (P) Ltd., Ahmedabad
3.     Hyderabad Chemical Product Limited, Hyderabad
4.     Siris Crop Science Limited, New Delhi
5.     Atul Limited, Vapi
6.     Sudarshan Chemical Industries Ltd, Pune
7.     United Phosphorus Ltd
8.     Chemtura Chemicals India Pvt. Ltd
9.     Crystal phosphate Limited
10.   Meghmani Industries Limited
11.   Indofil Indutries Ltd., Andheri(E), Mumbai
12.   Ravi Organics Ltd
13.   Deccan Fine Chemicals (India) Ltd.,
14.   Insecticides India Ltd
15.   Punjab Chemicals and Crop Protection Ltd., Mumbai
16.   Bharat Rasayan Ltd., Delhi
17.   HPM Chemicals & Fertilizers Ltd., N. Delhi
18.   Best Crop Science LLP, Gajraula, UP(96% min) 9(4)
19.   Samardhi Crop  Chemicals Ltd. 96.0 % min. 9 (4).,
20.   Agrico Organic Ltd, 96.0 % min. 9 (4).,
21.   Bhagiradha Chemicals & Industries Ltd., Hyderabad. 96.0 % min. 9 (4)
22.   Excel Phosphates Ltd., Meerut. 96.0 % min. 9 (4).,
23.   M/s Mahamaya LifeSciences Pvt. Ltd. Delhi( TIT vs TIM)"
Profenophos Technical 89% min.,487,"1.     Syngenta Produkte AG, Switzerland  (By M/s Syngenta, Mumbai)","a.     P.I. Industries, Udaipur.
2.     Nagarjuna Agrichem Ltd.,     Hyderabad.
3.     Syngenta, Mumbai"
,,,"4.     Gharda India Chemicals, Mumbai.
5.     Meghmani Organics Ltd., Ahmedabad
6.     Rotam India Ltd., Vapi, Gujarat
7.     Sudarshan Chemical Industries Ltd, Pune
8.     Coromandel International Ltd.
9.     Hyderabad Chemical Product Ltd
10.   Spectrum Ethers Limited, Mumbai
11.   GSP crop Science Pvt Limited, Ahmedabad.
12.   Punjab Chemicals and Crop Protection Pvt Limited
13.   Krishi Rasayan Pvt. Ltd.
14.   Heranba Industries Ltd., Mumbai
15.   Patel Pesticides India Pvt Ltd, Vadodara
16.   Excel Crop Care Ltd., Mumbai
17.   Best Crop Science LLP, Gajraula, UP89.0%.Min 9 (4)
18.   Cheminova India Ltd. 89.0%.Min 9 (4)
19.   M/s Godvari Farm Chemical Industries Ltd., 9 (4), in 386th RC"
Prohexadione-Calcium 10% WG (FI),825,"IPT (VTA) Pergande, GmBH, Wilfried Pergande Platz 1, 06369, WeiBandt- Golzau, Germany",1
Propamocarb Hydrochloride Tech.66% w/w min.,372,"Bayer Crop Science AG, Germany( By M/s Bayer Crop Science Ltd., Thane)","1.   Bayer Crop Science Ltd., Thane, , TIM 9 (4)"
"Propanil Technical
88% min., 97% w/w min",288,"1.   Monsanto Agricultural Products Co., USA
2.   Makhteshim Agan Beer Sheva, Israel.
3.   Rohm & Hass Co., USA","M/s UPL Ltd., Mumbai,"
,,,vs TIT)
Propargite Technical 90% w/w min.,289,"1.   Chemtura   Italy   s.r.l.   Delle Industrie, 40, Casella Postale 13, 04013, Latina Scalo, Italy
2.     Qingdao   Hansen   Biologic Science  Co.  Ltd.,  No.  210, Shenzhen South Road, Laixi, Qingdao,  China  Valid  up  to 06.11.2018
Supplier:   M/s.   Willowood (Hangzhou)   Co.   Ltd.Room No. 2003, Golden Plaza, No. 118,      Qingchun      Road, Xiacheng District, Hangzhou City,    Zhejiang    Province, China  (By  M/s  Willowood
Chemicals Pvt. Ltd.","1.  Indofil Industries Ltd., Andheri(E)
2.  HPM Chemicals & Fertilizers Ltd., N. Delhi
3.  Bharat Rasayan Ltd., New Delhi 90.0 % Min. 9 (4).
4.   Meghmani Organic Ltd, 90.0 % Min. 9 (4).
5.  Indogulf Crop Science Ltd, New Delhi, 90.0 % Min. 9 (4).
6.  M/s Best Crop Science Pvt. Ltd., New Delhi, 90.0 % Min. 9 (4).
7.  M/s Astec Life Science Ltd., 90.0 % Min. 9 (4). In 397th RC."
Propetamphos Technical 87.5% min.,369,"1.     Syngenta Crop Protection AG., Switzerland
2.     Irvita Plant Protection N.V.,
Netherlands Antilles",
"Propiconazole Technical 88% min., 98% w/w min.",488,"1.     Syngenta Crop Protection AG., Monthey, Switzerland
2.     Irvite Plant Protection Netherland Antiles","1.     Nagarjuna Agrichem Limited, Mumbai.
2.     Spectrum Ethers Ltd., Mumbai
3.     Sudarshan Chemicals Industries Limited, Pune
4.     Astec Chemicals Pvt. Ltd., Mumbai
5.     Meghmani Industries Ltd.
6.     Hyderabad Chemical Products Ltd.
7.     Indofil Indutries Ltd., Andheri(E)
8.     GSP Crop Science Pvt. Ltd. Ahmedabad
9.     Astec Chemicals Pvt Limited, Mumbai
10.   Crystal Phosphates Ltd, Delhi"
,,,"11.   Jaysynth Dyechem Ltd, Mumbai
12.   Atul Ltd., Valsad
13.   Tagros Chemicals India Ltd., Chennai
14.   Best Crop Science LLP, Gajraula, UP, 88.0% Min. 9 (4)
15.   Crop Life Science Ltd. 88.0% Min. 9 (4)
16.   M/s UPL Ltd., Mumbai, 88.0% Min. 9 (4)
17.   M/s India Pesticides Ltd., 98% min.9(4) in 395th RC
18.   M/s HPM Ltd., 88% min.9(4) in 399th RC"
Propineb Technical 80%min,290,"1.     Bayer CropScience AG, D- 51368, Leverkusen, Germany, change to M/s Bayer AG, Germany), (By- Bayer CropScience Ltd., Mumbai, India, 80% w/w min., in 392nd RC.)
2.     Nantong Baoye Chemical Co. Ltd., No.78, Chuanzhha Road(W), Nantong, Jiangsu, China (P.R.C)  through Supplier: M/s. Willowood (Hangzhou) Co. Ltd Room No.2003 Golden Plaza, No. 118, Qingchun Road, Xiacheng District, Hangzhou City, Zhejiang Province,
China","1. United Phosphorus Ltd., Mumbai
2. Sabero Organics Gujarat Ltd
3.    Indofil Industries Ltd., 80% min. (TIM vs TIT)
4.    M/s Best Crop Science Pvt. Ltd., 80% min. 9(4), in 389th
RC
5.    M/s India Pesticides Ltd., 80% min. 9(4), in 407th RC."
Propaquizafop 91% Technical,582,"Adama Agan Ltd., P.O.B. 262, ASHDOD, Israel",
Propaquizafop 10%EC (FI) WRT,582,"ADAMA Agan Ltd. P.O.B.
262, Ashdod, Israel Source of supply: M/s.",
,,"Quenna Plant Protection NV, kaya WFG, Mensing 34, P.O. Box-403, Curacao, Netherlands, Antilles.",
"Propaquizafop 2.5 %
+Imazethapyr 3.75 %w/w ME",,"ADAMA Agan Ltd., Northern Industrial Zone, P.O.B. 262, Ashdod 77102, Isreal with supplier name M/s. ADAMA Quena N.V., Pos Cabai Office Park Unit-13,
P.O.B. 403, Curacao.( by M/s ADAMA India Pvt. Ltd., Hyderabad)",
"Propaquizafop 5% +
Oxyflurofen 12% EC",,"Adama Agan Ltd., P.O.B. 262, Northern Industrial Zone, ASHDOD, Israel Supplier: Adama Quenna
N.V. P.O.B. 403, Curacao",
Pyraclostrobin  Tech 95% min,,"BASF Schwarzheide GmbH, Schipkauer Strasse 1, 01987, Schwarzheide, Germany (By BASF India Ltd.,)",
Pyraclostrobin 20% WG (FI),659,"BASF Corporation. 14284 Highway 41 North, Sparks, GA 31647, USA (By BASF
India Ltd.,)",
Pyraclostrobin 100g/L CS(FI),659,"BASF Espanola S.L., Poligon Industrial San Vincente 08755 Castellbisbal, Spain (By BASF India Ltd.,)",
1.  Prochloraz 24.4% + Tebuconazole 12.1% w/w EW,394,"1.  M/s Adama Makhteshim Ltd. (Formely known as Makhteshim chemical works Ltd. Po box 60, Industrialzone beer Sheva 84100 Israel, (By-M/s Adama India Pvt. Ltd,(valid upto 31/03/2019), (FI-WRT )u/s 9(3), in  393rd RC)",
Prochloraz Technical 95% w/w Min,394,"M/s ADAMA Makhteshim Ltd. (Formerly known as Makhteshim Chemical Works Ltd.), P. Box 60, Industrial Zone, Beer Shewa 34100, Israel.
Through Supplier : M/s ADAMA Makteshim Ltd. Israel.( valid upto 31/03/2022), ( By- M/s Adama India Pvt. Ltd.,
95% w/w Min.,in 398th RC).",
"1.  Pyriproxyfen Technical (97% Min).,95.0% min., 98% w/w min.",652,"1.  Sumitomo Chemical Co. Ltd., Japan
2.  Jiangsu Flag Chemical Industry Co. Ltd., Changhjenghe Road, Nanjing Chemical Industrial Park, Luhe District, Nanjing PC: 210047,
P.R. China (by M/s Parijat Industries India Pvt. Ltd., Delhi)
3. M/s Nantong Gongcheng Fine Chemical Co., Ltd. Add: The Fifth Road, Yangkou Chemical Industrial Zone, Rudong Country Nantong City, Jiangsu Province P. R. China.","2.  M/s Tagros Chemicals India Ltd., 98% w/w min.9(3), in 386th RC)
3.  M/s Agro Life Sciences Corporation, 95% w/w min. 9(4) in 399th RC"
,,"Through Supplier: M/s HC Agrochemical Co. Ltd. Room 1508, 885 Ren min Road, Shanghai 200010 P.R. China. 97% w/w min. (valid upto 4th May 2023), (By-M/s GSP Crop Science Pvt. Ltd., in 389 RC under category new Source)",
Propoxur Technical 95% min.,291,"1.     Bayer Crop Science A.G. Germany.
2.     Borregard Ittalia SRL Milano, Italy.
3.     Enichem Synthesis, Madona, Italy.
4.     Sundet (S) Pte. Ltd.,
Singapore","Atul Ltd., Valsad."
1.  Pyrazosulfuron ethyl 70% WDG,491,"1.     M/s.      Nissan      Chemical Industries      Ltd.,      Kowa- Hitotsubashi, Building, 7-1-3- Chome,   Konda-Nishiki-Cho, Tokyo, Japan Change to M/s Nissan Chemical Corporation, 5-1,    Nithonbashi,    Chome, Chuo-Ku,  Tokyo  (1036119), Japan.,), (valid as on Dec. 1/ 2018).     (Endorsement     of
change of name  and  address","1.Meghmani Industries Ltd., 96.0% Min. 9 (4)
2. M/s Bharat Rasayan Ltd., 97.00% Min. 9 (4) in 393rd RC"
,,"of   source   of   import   of Pyrazosulfuron    ethyl    70% WDG),    (in    408th    RC.)
Through     Supplier:    M/s. Nissei Corporation,      10-51
Nihonbashi-Honcho,          1-
Chome,     Chou-Ku Tokyo-  1030023,       Japan. (M/s.                  Nagarjuna Agrochemicals   Ltd.   (under
FI-WRT)",
1.  Pyrazosulfuron ethyl Technical 97.00% w/w min.,491,"LG Life Sciences Limited, LG Gwangwamun Bldg., 92, Sinnmunno 2-ga, Jongno-gu, Seol- 110062, Seoul, by UPL Ltd. (Import)",
Pyridalyl tech,703,"Sumitomo Chemical Co. Ltd., Tokyo, Japan.",
1.  Pyridaben 20% WP,756,"1. M/s Nissan Chemical Industries Ltd. Kowa Hitotusubashi Building 7-1, 3- chome, kanda-nishikicho, chiyoda ku, Tokyo-1010054 (by Godrej Agrovet Ltd in 393 th RC)
change  to M/s Nissan Chemical Corporation, 5-1, Nihonbashi, 2-Chome, Chou-
Ku, Tokyo, 1036119, J apan.",
,,"Through Supplier: M/s Nissei Corporation, Japan Nihonbbashi-honcho, 1-chome, chuo-ku Tokyo, 1030023
Japan, (valid upto 31.03. 2020
), (Endorsement  by  Godrej Agrovet Ltd in 408th RC, )",
Pyriproxifen 0.5% Gr.,652,"1.  Sumitomo Chemical Company Limited, Japan.",
Pyrithiobac Sodium 95% min,583,,"Goldmuhar Agrochem & Field Ltd., Vikhroli (Mumbai)"
Pymetrozine 50.0% WG,,"M/s Syngenta Korea Limited, Iksan Plant, Korea with sapplier same  as the manufacturer valid upto 28.03.2021 (By Syngenta India Ltd.  In 347th RC )",
Pymetrozine Technical 98% w/w min.,,,"1. M/s GSP Crop ScienceLtd u/s 9(3), (TIM vs FI-WRT) in 388th RC
2. M/s Coromandal International Ltd., 98% min. 9(3), (TIM vs
FI-WRT ) in 401st RC."
Quinalphos Technical 70% min.,295,"Novartis Crop Protection Inc., USA","1.     Cheminova India Ltd., Mumbai.
2.     Shaw Wallace & Co. Ltd., Chennai.
3.     Sudarshan Chemical Industries Ltd., Pune.
4.     India Pesticie Ltd, Lucknow
5.     Arlex Chemi (P) Limited, Mumbai
6.     Megmani Organics Ltd., Ahmedabad
7.     Coromandel International Ltd.
8.     Hyderabad Chemical Products Pvt. Ltd.
9.     Gharda chemicals Ltd.
10.   Hikal Chemical Products Ltd.
11.   Gujarat Insecticide Ltd.
12.   Sun Pesticides (P) Ltd, 70% min. 9 (4)
13.   M/s Bhagiradha Chemicals and Industries Ltd., 70% min. 9
(4) in 395th RC"
"Quizalofop ethyl Technical, 98% w/w",493,"1.  Nisan    Chemical    Industries Ltd,     Kowa,     Hitotsubashi Building,     7-1,     3-Chome, Kanda-Nishikicho,    Chiyoda- Ku,   101-0054Tokyo,   Japan, Through  Supplier  -    Nissei Corporation,10-5, Nihonbashi- Honcho,1-Chome,    Chou-Ku Tokyo, 103-0023Japan.","1.M/s Atul Ltd., 98% w/w min. in 387th RC) (TIM vs FI) /9(3)"
"1.  Quizalofop ethyl 5% EC,10% EC &",493,"2.  M/s Nisan Chemical Industries Ltd,          Kowa-Hitotsubashi Building,     7-1,     3-Chome,",
,,"Kanda-Nishiki-cho,   Chiyoda- Ku,   Tokyo-101-0054.   Japan Change to
M/s       Nisan       Chemical Corporation, 5-1, Nihonbashi, 2-Chome,   Chou-Ku,   Tokyo (10136119), Japan
Through  Supplier  -    Nissei Corporation,10-5, Nihonbashi- Honcho,1-Chome,    Chou-Ku Tokyo, 103-0023Japan.",
Quizalofop-p-tefuryl 4%EC,622,"Chemtura Europe Ltd. , Chemark Kft, Hungary",
S-Bioallethrin Technical 95% min.,,"Evo SA, Paris, France",
Sirmate,304,To be informed,
"Sodium Cyanide
{Banned vide S.O. 3951(E) dated 8th August, 2018}",107,To be informed,
Sodium para-nitrophenolate 1.8% SL,625,"M/s. Asahi Chemical Mfg. Co. Ltd. 500, Takayasu, Ikarugacho, Ikomagun, Nara Pref, Japan
Supplier: M/s. Arysta Life Science Corporation, 38th
Floor, St. Like’s Tower, 8-1 Akashi-Cho, Chou-Ku, Tokyo, 104-6591, Japan,
Seiroka Garden Nai, P.O.-51",
Spinetoram 11.7% SC,803,"Helena Industries Inc. (exclusive producer of Dow owned Spinetoram 11.7% formulation) 434 Fenn Road, Cordele, Georgia, 31015, USA
Supplier: Dow AgroScience LLC, 9330 Zionsville Road,
Indianapolis, IN 46268,
USA.( By M/s Dow AgroScience India Ltd. )",
Spinosad Technical 85% min.,584,"1.     Dow Agro Science, USA
2.     Dow Agro Science, New Zealand.","Biosynthetics, Jalgaon"
Spiromesifen Technical 96.5% min,670,"Bayer Crop Science AG, Germany, Change  to M/s Bayer AG, Germany), (Bayer CropScience Ltd. India
96.5% in 392nd RC).",
"Spirotetramat Technical
96.0 % Min.",762,"Bayer Crop Science AG, Germany, Change to M/s Bayer AG, Germany), (Bayer CropScience Ltd. India 96% in 392nd RC.)",
Streptomycin + Tetracycline,"328
330",,"Hindustan Antibiotics Ltd, Pune"
"Sulfentrazone Technical 91% Min., 95.00% w/w
min.",613,"M/s Jiangsu Lianhe Chemical Technology    Co.    Limited, Welson Road, Chenjiangang, Xiangshui,   Jiangsu   224631","M/s Tagros Chemicals India Ltd. 95.00% w/w min.TIM ,9(3), in 395th RC."
,,"China Valid Upto 31.03.2018 (By M/s FMC India Pvt Ltd.,
)",
"Sulfosulfuron Technical 98% min., 98.5% min.",585,"Monsanto Company, USA Supplier – Sumitomo Chemical Company, Japan","1.     United Phosphorus Limited
2.     Gharda Chemicals, Mumbai
3.     Hyderabad Chemical Products Ltd.,     Hyderabad
4.     Atul Limited, Gujarat
5.     Tagros India Ltd, Chennai
6.     Meghmani Industries Limited, Ahmedabad
7.     Crystal Phosphate Ltd, Delhi
8.     GSP Crop Science Private Limited, Ahmedabad
9.     Insecticide India Limited
10.   Indofil Industries Ltd., Andheri(E)
11.   Bharat Rasayan Ltd
12.   Sharda Worldwide Exports Pvt Limited
13. Excel Crop Care Ltd., Mumbai
14. Punjab Chemicals and Crop Protection Ltd., Mumbai"
,,,15.   Heranba Industries Ltd.
,,,"16.   Indofil Industries Ltd., Andheri(E), Mumbai"
,,,"17.   HPM Chemicals & Fertilizers Ltd., N. Delhi,98.5 % min."
,,,9(4)
,,,"18.   Best Crop Science LLP, Gajraula, UP, 98.5 % min. 9(4)"
,,,19.   Excel Phosphate Pvt. Ltd.98.5 % min. 9(4)
,,,"20.   M/s Godavari Farm Chemical Industries Pvt. Ltd, 98.5%"
,,,"min. 9(4), in 408th RC."
"Sulphur 80% min.
Sulphur flowable 52% (import)",109,"1.     Syngenta Produkte AG., France.
2.     Stoller Enterprise Inc. Texas, USA","1.      Artee Graphite P Ltd., Delhi.
2.      Excel Crop Care Ltd. Ltd., Mumbai.
3.      Sulphur Mills Ltd., Mumbai.
4.     Atul Ltd., Valsad
5.     Meghmani Industries Ltd., Ahmedabad (80%)"
Sulphur 80% WG (FI),109,"BASF Alkliengesellschaft Production Crop Protection, 67056, Ludwigshafen, Germany",
"1.  Tebuconazole 5.4% FS
2.  Tebuconazole 50% + Trifloxystrobin 25%WG","524
705","1.                          Bayer    Crop
Science LP, 8400,     Hawthorn Road,      Kansas      City,      MO
64120, USA
2.  Bayer  Crop  Science  AG, Germany,   change   to   M/s Bayer     AG,     Germany, (change of name  of source of     import),     (By-Bayer CropScience Ltd., Mumbai, India        for   the   product Tebuconazole      50%      + Trifloxystrobin 25%WG, in
392nd RC.",
"1.  Tebuconazole Technical 93% min.97%min, 95% w/w min.",524,"1.Bayer  Crop  Science  LP,  8400, Hawthorn    Road,    Kansas
City, MO       64120, USA
3.       Adama   Irvita   N.V.   Pos Cabai office   park  13,  P.O.  box 403, Curacao, Israel
4.       Bayer  Crop  Science  AG, Germany,  change  to  M/s  Bayer AG,     Germany,         (By-Bayer CropScience  Ltd.,  Mumbai,  India
95.0% min in 392nd RC.)","1.    Excel Crop Care Ltd., Mumbai
2.    Indofill Industries Ltd., Mumbai        (95% min)
3.    GSP CropScience Pvt. Ltd. (95%      min)
4.    Best Crop Science LLP, Gajraula,      UP(95%min)
5.    Cheminova India Ltd. 95.0% Min. 9(4)
6.    Coromandal  International  Ltd.,  Secandrabad  95.0%  Min. 9(4)
7.     Insecticides India Ltd, 95.0% Min. 9(4)
8.     Jai Shree Rasayan Udyog Ltd., Delhi 95.0% Min. 9(4)
9.     HPM Chemicals & Fertilizers Ltd., Delhi 95.0% Min. 9(4)"
,,,"10.    Bharat Rasayan Ltd., New Delhi, 95.0% Min. 9(4)
11.    Excel Crop Care Ltd., 95% w/w min.  u/s 9(3) approved in 339th RC
12.    M/s Nagarjuna agrichem Ltd., 95. % Min. 9(4) in 397th RC
13.    M/s India Pesticides Ltd., 95% w/w min. 9(4), in 399th
RC
14.    M/s Sahib Pesticides Ltd., 95% w/w min. 9(4), in 399th
RC"
Tembotrione Technical 94% min,804,"M/s. Bayer
Cropscie nce LP
8400
Hawthorne Rd, Kansas    City,
MO      64120,
USA",
Temephos Technical 90% min.,201,"American Cynamid Co., USA","1.     Gharda Chemical, Mumbai
2.     Cynamid India, Mumbai
3.     Hikal Ltd
4.     Bharat Rasayan Ltd, New Delhi.
5.     United Phosphorus Ltd., Mumbai
6.     Coromandel International Ltd.
7.      Hernaba Industries Ltd., Mumbai, 90% min 9 (4)"
1.  Tetraconazole 3.8% EW,719,"1. Isagro Spa, Centro Uffci San Siro-Fabbricato D-ala 3- Via Caldera, 21-20153, Milano, Italy",
Thiacloprid Technical 97% min.,646,"1.     Bayer Crop Science AG, Germany., to (M/s Bayer","1.Cheminova India Pvt. Ltd., Bharuch
2. Cheminova India Ltd., Bangalore"
,,"AG, Germany), , (By M/s Bayer CropScience Ltd. India  TI, for  97% in 392nd RC.)",
Thiodicarb Technical 94% min.,498,"1.     Bayer Crop Science LP, 2TW, North Carolina, USA (Name of previous source is M/s. Aventis CropScience USA Inc, North Carolina, USA, this was changed in 230th RC) (By Bayer
CropScience Ltd. India  TI)","1.Hyderbad Chemical Products Ltd.,
2.     Rotam India Ltd., Vapi, Gujarat
3.     Insecticides India Ltd, Delhi
4.     Meghmani Organics Ltd, Ahmedabad.
5.     HPM Chemicals & Fertilizers Ltd., N. Delhi
6.     Bharat Rasayan Ltd., New Delhi, 94% min,9(4)
7.     M/s Best Crop Science LLP., 94% min,9(4) in 407th RC"
"1. Thiamethoxam Technical 97% min.
2. Thiamethoxam 0.01% w/w Gel Bait (Household Pesticides) *",614,"1.  DSM Chenve Linz St. Peter Strusse 25, A-4021 Linz, Austria.
2.  *M/s. Fumakilla Malaysia Berhad, Plot No. 256, Tingkat Perusahaan 5, Kawasan Perindustrian Perai 2, 13600 Perai, Pulau Pinang, Malaysia upto 31st March, 2019. supplier and source of manufacturer is the same in this case. (by M/s Syngenta India Ltd., Pune)","1.     Syngenta, Mumbai
2.     Rallis India
3.     GSP Crop Science Ltd., Ahmedabad
4.     Parijat Agencies, New Delhi
5.     Hyderabad Chemical Products Limited, Hyderabad
6.     Insecticides India Limited, Delhi
7.     Bharat Rasayan Limited, New Delhi
8.     Tagros Chemicals India Limited, Chennai
9.     P.I. Industries Limited, Gurgaon
10.   Atul Limited, Atul
11.   Punjab Chemicals & Crop Protection Ltd., Mumbai
12.   Sharda Worldwide Exports Pvt. Ltd.
13.   Crystal Phosphates Ltd., New Delhi
14.   Meghmani Industries Ltd.
15.   Krishi Rasayan Pvt. Ltd.
16.   United Phosphorous Limited, Mumbai"
,,,"17.   Bhagiradha Chemicals & Industries Ltd., Ahmedabad
18.   HPM Chemicals & Fertilizers Ltd., N. Delhi
19.   Best Crop Science LLP, Gajraula, UP
20.   Excel Phosphate Pvt. Ltd.97.0 % min. 9(4)
21.   Samardhi Crop Chemicals 97.0 % min. 9(4)
22.   Indofil Industries Ltd. Mumbai, 97.0 % min. 9(4)
23.   Jubiliant life Science Ltd. UP. 97.0 % min. 9(4)
24.   Oriyo Organics Pvt.Ltd., Yamunanagar 97.0 % min. 9(4)
25.   Aimco Pesticides Ltd. Mumbai, 97.0 % min. 9(4)
26.   Sudarshan Crop (I), Jaipur, , 97.0 % min. 9(4)
27.   Agrico Organics Ltd. New Delhi, 97.0 % min. 9(4)
28.   Nutech Life Science Pvt. Ltd., Pune, 97.0 % min. 9(4)
29.   M/s Mega Innovative Crop Pvt. Ltd., 97.0 %,9(4), in 386th
RC.
30.   M/s India Pesticides Ltd., 97.0 % min. 9(4), in 399th RC
31.   M/s Shreeji Pesticides Pvt. Ltd., 97.0 % min. 9(4), in 401st
RC"
Thiocyclam Hydrogen Oxalate Technical 86% Min,373,"Suzhou Link Hi-Tech Co., Ltd. No.1, Link road Dongpiao Town Xiang Cheng District, Suzhou, Jaingsu, China a designated manufacturer of M/s. Nippon Kayaku Co. Ltd., Tokyo Fujimi Bidg, 11-2, Fujimi 1 Come, Chiyodaku, Tokyo, Japan Supplier: Arysta lifeScience Corpooration, 38-39F St. Luke’s Tower, 8-1,Akashi-Cho, Chou-Ku, Tokyo-1046591, Japan",PI Industries Ltd.
"Thiometon Technical 50% min.
{Banned vide S.O. 3951(E)
dated 8th August, 2018}",51,,"Syngenta India Ltd., Pune"
Thifluzamide Technical 96% min,615,,"1.  Nagarjuna Agrichem Ltd., Hyderabad"
Thiobencarb,331,To be informed,
"Thiophanate-methyl Technical
94% min.",314,"1.     Nippon Soda Co. Ltd., Japan. Name of Supplier; -  Summit Agro International Ltd., Chou
Ku Harumi Tokyo, Japan. (By Dhanuka Agritech Ltd., New Delhi )
2.     Sinoway International Jiangsu Ltd., 147 Pingling Road East, Liyang, Jiangsu,","1.      Motilal Pesticides, Mathura (UP)
2.      Meghmani Industries Ltd, Ahmedabad
3.      Insecticide India Ltd, Delhi
4.     Sudarshan Chemical Industries Ltd., Pune
5.     Rallis India Ltd.
6.  M/s Best Crop Science LLP, 94% w/w min. (9(4) TIM) in 395th RC
7.  M/s Indofil Industries Ltd., 94% w/w min. (9(4) TIM) in 397th RC &407th RC.
8.  M/s R3 Crop Care Pvt. Ltd., 94% min., 9(4), in 407th RC"
,,"China. Supplier: Jiangsu Jiatai Chemical Co. Ltd., 17, Beijing Road (West), Nanjing, China",
"Thiophanate-Mehtyl 450 g/l
+ Pyraclostrobin 50 g/l (FS)","314
659","BASF Agri-Production SAS
Z.I. Lyon Nord, Rue Jacquard-69727, Genay, France.",
Thiram Technical 95% min. & 98% min.,117,"1.     Taminco bvba 9000 Ghent, Pantserschipstraat 207.
2.     Bayer AG, Germany.
3.     W.A. Cleary Corpn., USA.
4.     Zeneka Ltd., UK.
5.     Veb Chemiekoplant Butterfield, GDR","1.     Merchem Ltd., Cochin
2.     Swarup Chemicals P. Ltd., Lucknow
3.     Sudama Chem tech Pvt Limited, Vadodara
4.     GSP Crop Science Pvt. Ltd
5.     Bharat Rasayan Ltd. (95%)
6.     M/s Chemet Chemicals Ltd., Ahmedabad, (95%) 9 (4)
7.      UPL Ltd., Mumbai,95% min 9 (4)
8.     M/s Meenakshi Agro Chemicals, 95% min. 9 (4), in 395th RC
9.     M/s Best Crop Science LLP, 95% min 9 (4), in 405th RC."
Tolfenpyrad 98.5% Tech Min,783,"1.  Nihon Nohyaku Co. Ltd., 19- 8, Kyobashi 1-Chome, Chou- Ku, Tokyo 1048386, Japan. Through Supplier: M/s Sojiz Corporation, 1-1, Uchisaiwaicho 2-Chome, Chiyoda-Ku, Tokyo-100- 8691, Japan. (Endorsement By- M/s P I Industries Ltd. in
404th RC.)","1 Coromandel International Ltd., 98.50% w/w min. (TIM vs TIT) under section 9(3)."
Topramizone 336 g/l SC,767,"6.      IPT (VTA) Pergande, GmbH, Wilfried Pergande",
,,"Platz 106369, WeiBandt- Golzau, Germany
Name of the Supplier:
BASF SE, Germany (by BASF India Ltd. Mumbai)",
Transfluthrin Technical 94% min.,558,"Bayer Crop science AG., Germany, Change  to M/s Bayer AG, Germany), (By- Bayer CropScience Ltd., Mumbai, India-94% min, in
392nd)","1.     Bayer Vapi Pvt. Ltd., Vapi, Gujarat
2. M/s Synergia Science Pvt. Ltd. 90.0%, 9(4) in 344th"
Triacontanol,559,Formulation manufactured in-situ,
Triadimefon Technical 90% min.,351,"Bayer CropScience AG, Germany,  Change to M/s Bayer AG, Germany),  (By- Bayer CropScience Ltd., Mumbai, India, TI, 90%
min., in 392nd RC.  )",
Triafamone 20% w/w + Ethoxysulfuron 10% WG % w/w SC( FI-WRT ),"853
519","1.  M/s Bayer Crop Science, AG, Germany through
Supplier: M/s Bayer, Vietnam Ltd., Vietnam ( By- M/s Bayer Crop Science Ltd., Mumbai in 390th RC
( FI- WRT )",
Triallate Technical 90% min.,316,"Monsanto Chemicals Co. Ltd., Belgium.",
Triasulfuron Technical 94 % Min.,500,"Syngenta Crop Protection AG
CH-4002, Basle, Monthey
Switzerland.",
