Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Basillus Species Thruingiensis Berliner var. Kurustaki Serotypes 3a, 3b, SA II WG",326,"1.     Cetris, USA LLC
2.     Thermo Triology Corporation, USA",Margo Biocontrols Pvt. Ltd.
Butachlor Technical 85% min,248,"1.     Monsanto Agricultural Products Co., USA Supplier -. Sinochem
International (Overseas) Pte. Ltd., 9 Raffles Place,50-01 Republic Plaza,
Singapore - 048619
2.     Shen Hong Chemical Corporation, Taiwan.
3.     Shinung Corporation","1.      Hindustans Insecticdes Ltd., Delhi.
2.      Montari Industries Ltd., Delhi.
3.      Siris India Ltd., Hyderabad.
4.      Insecticides India Ltd.
5.      Jaishree Agro Industries Ltd, Delhi
6.      Hyderabad Chemical Products Ltd.
7.      Coromandel International Ltd., Secunderabad
8.      Bharat Rasayan Ltd., Delhi
9.      Sudarshan Chemical Industries Ltd., Pune"
,,"Taichung, Taiwan. name change to M/s. SINON Corporation Taichung, Taiwan",
Captan Technical 90% min.,14,"1.     Chevron Chemical Co., USA
2.     Makhteshim Agan, Israel
3.     Makhteshim Chemical Works Ltd., Beer ShevaIsrael.","1.Rallis India, Mumbai
2.India Pesticide Ltd., Lucknow 3.FIL Industries Ltd.
4.Punjab Chemicals & Crop Protection Ltd, Chandigarh. 90.0% Min. 9 (4).
5. Bonageri Crop Science Ltd. Karnataka 90.0% Min. 9 (4)."
"Carbaryl Technical 97% min.
{(Banned  vide S.O. 3951(E) dated 8th August, 2018}",15,"Bayer Crop Science LP, 2TW, North Carolina, USA (Name of previous source is M/s. Aventis CropScience USA Inc, North Carolina, USA, this was changed in 230th RC)","1.Atul Ltd., Valsad. 2.Hindustan Insecticide Ltd."
Carbendazim Technical 98% min.,148,"1.     BASF, West Germany
2.      Sinoway International (Jiangsu) Company Ltd., China
3.     Jiangyin Rotam Chemical Co. Ltd., Jiangsu, China.
4.     M/s Ningxia wynca Technology Co. Ltd., Taisha Chemical Industry Park, Pingluo, Ningxia, China
Supplier:    M/s  Ningxia  Wynca Technology Co.       Ltd.,   Taisha industry         Park,         Pingluo, Ningxia,  China  valid  upto
13.05.2018  (by  M/s  Crystal  Crop","1.     BASF (I) Ltd., Mumbai
2.     Alchemic Organics Ltd., Mumbai
3.     Artee Graphite P Ltd., Delhi
4.     Atul Ltd., Bulsar
5.     Gujarat Insecticides Ltd., Ankleshwar
6.     Hindustan Antibiotics Ltd., Pune
7.     Hyderabad Chemical Products Ltd.,    Hyderabad
8.     New Chemie Industries Ltd., Mumbai
9.     Paushak Ltd., Baroda.
10.   Rotam India Ltd.
11.   Megmani Industries Ltd.
12.   Gharda Chemicals Ltd
13.   Sudarshan Chemical Industries Ltd., Pune
14.   Bayer Crop Science Ltd., Mumbai."
,,Care Protection Pvt. Ltd.),
Carbofuran Technical 75% min & 90% min,163,"1.     FMC Corporation, USA
2.     Brayton Chemical, USA
3.     Agrichem Inc., USA
4.     Mobay Chemical Corporation, USA
5.     Lobel Chemical Corporation, USA
6.     Mitsubishi Chemical Industry Co. Ltd., Japan
7.     Medinpex, Hungary.
8.     M/s. Jiangsu Lanfeng Biochemical Co. Ltd., Regd. Office- Suhua Road, xinyi Economic and Technical Development Zone, Jiangsu, PR China.
Manufacturing Site at: M/s. Jiangsu Lanfeng Biochemical Co. Ltd.,
Shaxi town, Taicang city, Jiangsu Province, China. (valid upto 21.11.2023),
9.  Human Research Institute of Chemical Industry, China. Change  to M/s Hunan Haili Chemical Industry Co., Ltd., Address No. 251, 2nd Section, Furong Road (M),
Changsa, Hunan, China.",1. Atul Ltd. Valsad. 2.Rallis India Ltd.
Carbosulfan Technical 92% min.,384,"FMC Corporation, USA",
Carboxin Technical 98% min.,165,"Manufacturer:  Shaanxi  Hengtian Chemical  Co.,  Ltd.,  No.-48, Fengcheng  3  Road,  XI’  AN, China.
Supplier:          Chongqing Shining  Fine  Chemicals  Co. Ltd.,  28-3  Citie  Commerce, No.   5   Yanghe   San   Cun, Jiangbei  District,  Chongqing China.  This  source  is  regd. By     Ms.     Crystal     Crop Protection  Pvt.  Ltd.,  in  352
RC meeting.",
Carboxin Technical 97% min.,165,"1.     Crompton Co. / cie Erb Street, Elmira, Canada.
To Chemtura Canada Co./cie, Elm Street, Naugatuck, Ct
06770, Canada","1.  M/s Best Crop Science, 97% ,9(4) in 386th RC
2.   M/s India Pesticides Ltd., 97% min. 9(4) in 393rd RC
3.  M/s UPL Ltd., Mumbai, 97% min. 9(4) in 395th RC"
Carfentrazone ethyl Tech 90% min,627,"FMC Corporation Agricultural Product Group, 1735 Market Street, Philadelphia, Pensylvenia PA 19103, USA",
"Carfentrazone ethyl 40%DF, 53% MUP",627,"FMC Corporation Agricultural Product Group, Philadelphia, PA 19103,
USA",
Carpropamid Technical 95% min.,602,"Bayer Crop Science AG, Germany.,
change to  M/s Bayer AG, Germany, ( By M/s  Bayer
CropScience Ltd. 95% in",
,,392nd RC.),
"Cartap Hydrochloride Technical
98% min.*",339,"1.     Sumitomo Chemical company, Shinkawa 2 – chome, Chuo-ku, Tokyo, Japan (through Arysta Life Science Corpn, Japan)
2.     Sumito Chemicals.
3.     Jiangsu Tianrong Group Co. Ltd., No.1, Shugang road, Xiangashui Eco-Chemical Industrial Park, Jiangsu,
China
a. Name of the supplier: Jiangsu Jiatai Chemical Co. Ltd., 17, Beijing Road(West), Nanjing, China,","1.   Atul India Ltd., Valsad
2.   United Phosphorus Ltd., Mumbai.
3.   GSP Crop Science Pvt. Ltd. Ahmedabad
4.   Bharat Rasayan Ltd., New Delhi
5.   EID Parry (India) Limited, Chennai
6.   Hyderabad Chemical Product Limited, Hyderabad
7.   HPM Chemicals & Fertilizers Ltd.,
8.   Punjab chemicals & Pharmaceuticals Limited, Chandigarh.
9.   Gharda Chemicals Ltd, Mumbai
10.  Meghmani Organics Ltd
11.  Coromandel International Ltd., Secundrabad
12.  Sudarshan Chemical Industries Ltd., Pune
13.  Excel Phosphorus Pvt. Ltd., 98% min. 9(4)"
,,"4.     Anhui    Huaxing    Chemical Industry  Co.  Ltd.  Wujiang Town,     Hexian     Country, Anhui Province, China.
Hunan Haohua Chemical Company Ltd., No. 18, Dingshan Road, Shifeng District, Zhuzhou City, Hunan, China, (valid upto 01/12/2023). (By M/s Adama india Pvt. Ltd., Hyd)",
,,"5.     Yueyang   Anda   Chemicals Ltd.,   Room   No.   613-617,",
,,"Chuangye    Centre,    Baling Zhong     Road,     Yueyang, Hunan,     China,     Through Supplier:    Beta    Chemicals Ltd. Room No. 707, BLK, A.
Kingsouond Centre, No. 116, Zizhuyuan    Road,    haidian District, Beijing, China (regd. By   M/s.   Indofil   Industries Ltd. In 355 RC (Valid Up to
01/12/2023)",
